v_p	A_p	v_s	A_s	νk	ipda	νk	isda
2133.95657	0.0007812473982380524	2133.95657	0.0016165721001764194	2091.274	0.0	2091.274	0.0
2133.9867	0.0008159661098617252	2133.9867	0.0016557077796907765	2091.322	0.0	2091.322	0.0
2134.01684	0.0008356847281271451	2134.01684	0.0016898431723414153	2091.37	0.0	2091.37	0.0
2134.04697	0.0008454034397508206	2134.04697	0.0017189788518557764	2091.418	0.0	2091.418	0.0
2134.0771	0.0008501221513744911	2134.0771	0.0017431145313701463	2091.466	0.0	2091.466	0.0
2134.10724	0.0008598407696399218	2134.10724	0.0017772499240207712	2091.514	0.0	2091.514	0.0
2134.13737	0.0008895594812635826	2134.13737	0.0018213856035351333	2091.562	0.0	2091.562	0.0
2134.1675	0.0009242781928872554	2134.1675	0.0018805212830495105	2091.61	0.0	2091.61	0.0
2134.19764	0.0009689968111526864	2134.19764	0.00195465667570012	2091.658	0.0	2091.658	0.0
2134.22777	0.0010087155227763503	2134.22777	0.002023792355214493	2091.706	0.0	2091.706	0.0
2134.25791	0.0010384341410417872	2134.25791	0.0020879277478651204	2091.754	0.0	2091.754	0.0
2134.28804	0.0010531528526654538	2134.28804	0.0021420634273794925	2091.802	0.0	2091.802	0.0
2134.31817	0.0010578715642891173	2134.31817	0.0021811991068938635	2091.85	0.0	2091.85	0.0
2134.34831	0.001057590182554552	2134.34831	0.0022203344995444796	2091.898	0.0	2091.898	0.0
2134.37844	0.0010673088941782205	2134.37844	0.0022544701790588456	2091.946	0.0	2091.946	0.0
2134.40857	0.0010920276058018832	2134.40857	0.0022936058585732166	2091.994	0.0	2091.994	0.0
2134.43871	0.0011317462240673162	2134.43871	0.0023427412512238427	2092.042	0.0	2092.042	0.0
2134.46884	0.0011864649356909882	2134.46884	0.002406876930738211	2092.09	0.0	2092.09	0.0
2134.49898	0.0012461835539564134	2134.49898	0.0024810123233888343	2092.138	0.0	2092.138	0.0
2134.52911	0.0013109022655800814	2134.52911	0.0025701480029031998	2092.186	0.0	2092.186	0.0
2134.55924	0.0013756209772037564	2134.55924	0.0026692836824175753	2092.234	0.0	2092.234	0.0
2134.58938	0.0014403395954691867	2134.58938	0.002783419075068197	2092.282	0.0	2092.282	0.0
2134.61951	0.0015050583070928478	2134.61951	0.0029075547545825697	2092.33	0.0	2092.33	0.0
2134.64965	0.001574776925358283	2134.64965	0.0030416901472331836	2092.378	0.0	2092.378	0.0
2134.67978	0.0016494956369819472	2134.67978	0.0031758258267475525	2092.426	0.0	2092.426	0.0
2134.70991	0.0017192143486056133	2134.70991	0.0032999615062619253	2092.474	0.0	2092.474	0.0
2134.74005	0.0017889329668710485	2134.74005	0.003414096898912547	2092.522	0.0	2092.522	0.0
2134.77018	0.0018586516784947146	2134.77018	0.0035182325784269136	2092.57	0.0	2092.57	0.0
2134.80031	0.0019233703901183827	2134.80031	0.0036173682579412753	2092.618	0.0	2092.618	0.0
2134.83045	0.001993089008383818	2134.83045	0.0037215036505919147	2092.666	0.0	2092.666	0.0
2134.86058	0.002067807720007482	2134.86058	0.0038356393301062636	2092.714	0.0	2092.714	0.0
2134.89072	0.0021575263382729096	2134.89072	0.003974774722756896	2092.762	0.0	2092.762	0.0
2134.92085	0.00225224504989658	2134.92085	0.004128910402271271	2092.81	0.0	2092.81	0.0
2134.95098	0.0023519637615202482	2134.95098	0.004298046081785634	2092.858	0.0	2092.858	0.0
2134.98112	0.002451682379785672	2134.98112	0.004467181474436269	2092.906	0.0	2092.906	0.0
2135.01125	0.002536401091409346	2135.01125	0.004616317153950625	2092.954	0.0	2092.954	0.0
2135.04138	0.002611119803033017	2135.04138	0.004750452833464994	2093.002	0.0	2093.002	0.0
2135.07152	0.0026708384212984423	2135.07152	0.004854588226115605	2093.05	0.0	2093.05	0.0
2135.10165	0.0027205571329221093	2135.10165	0.004943723905629985	2093.098	0.0	2093.098	0.0
2135.13179	0.002760275751187549	2135.13179	0.005017859298280622	2093.146	0.0	2093.146	0.0
2135.16192	0.002804994462811211	2135.16192	0.005086994977794981	2093.194	0.0	2093.194	0.0
2135.19205	0.002844713174434875	2135.19205	0.005156130657309355	2093.242	0.0	2093.242	0.0
2135.22219	0.002884431792700315	2135.22219	0.005220266049959968	2093.29	0.0	2093.29	0.0
2135.25232	0.0029141505043239757	2135.25232	0.005279401729474331	2093.338	0.0	2093.338	0.0
2135.28246	0.0029288691225894045	2135.28246	0.005318537122124975	2093.386	0.0	2093.386	0.0
2135.31259	0.002928587834213077	2135.31259	0.005342672801639331	2093.434	0.0	2093.434	0.0
2135.34272	0.0029133065458367413	2135.34272	0.0053518084811537	2093.482	0.0	2093.482	0.0
2135.37286	0.002898025164102168	2135.37286	0.005365943873804319	2093.53	0.0	2093.53	0.0
2135.40299	0.002887743875725844	2135.40299	0.005385079553318697	2093.578	0.0	2093.578	0.0
2135.43312	0.0028874625873495097	2135.43312	0.005424215232833068	2093.626	0.0	2093.626	0.0
2135.46326	0.0029071812056149365	2135.46326	0.005483350625483677	2093.674	0.0	2093.674	0.0
2135.49339	0.002931899917238606	2135.49339	0.005557486304998055	2093.722	0.0	2093.722	0.0
2135.52353	0.002961618535504043	2135.52353	0.005631621697648678	2093.77	0.0	2093.77	0.0
2135.55366	0.002986337247127699	2135.55366	0.005705757377163043	2093.818	0.0	2093.818	0.0
2135.58379	0.0030110559587513755	2135.58379	0.005769893056677411	2093.866	0.0	2093.866	0.0
2135.61393	0.0030307745770168093	2135.61393	0.005829028449328033	2093.914	0.0	2093.914	0.0
2135.64406	0.003060493288640477	2135.64406	0.005903164128842411	2093.962	0.0	2093.962	0.0
2135.6742	0.003105211906905901	2135.6742	0.006002299521493032	2094.01	0.0	2094.01	0.0
2135.70433	0.003169930618529576	2135.70433	0.006126435201007405	2094.058	0.0	2094.058	0.0
2135.73446	0.0032546493301532364	2135.73446	0.006275570880521775	2094.106	0.0	2094.106	0.0
2135.7646	0.003349367948418669	2135.7646	0.006439706273172391	2094.154	0.0	2094.154	0.0
2135.79473	0.003444086660042339	2135.79473	0.006598841952686757	2094.202	0.0	2094.202	0.0
2135.82486	0.0035288053716660064	2135.82486	0.006747977632201113	2094.25	0.0	2094.25	0.0
2135.855	0.0035985239899314347	2135.855	0.00687711302485175	2094.298	0.0	2094.298	0.0
2135.88513	0.0036532427015551067	2135.88513	0.0069912487043661126	2094.346	0.0	2094.346	0.0
2135.91527	0.003707961319820534	2135.91527	0.007105384097016748	2094.394	0.0	2094.394	0.0
2135.9454	0.003762680031444199	2135.9454	0.007239519776531117	2094.442	0.0	2094.442	0.0
2135.97553	0.003842398743067868	2135.97553	0.007393655456045478	2094.49	0.0	2094.49	0.0
2136.00567	0.003937117361333307	2136.00567	0.0075777908486961	2094.538	0.0	2094.538	0.0
2136.0358	0.004046836072956965	2136.0358	0.00778192652821047	2094.586	0.0	2094.586	0.0
2136.06593	0.0041615547845806344	2136.06593	0.00799106220772483	2094.634	0.0	2094.634	0.0
2136.09607	0.00426627340284607	2136.09607	0.008200197600375464	2094.682	0.0	2094.682	0.0
2136.1262	0.004365992114469738	2136.1262	0.008399333279889828	2094.73	0.0	2094.73	0.0
2136.15634	0.004455710732735166	2136.15634	0.00859346867254046	2094.778	0.0	2094.778	0.0
2136.18647	0.004545429444358838	2136.18647	0.008792604352054811	2094.826	0.0	2094.826	0.0
2136.2166	0.004635148155982503	2136.2166	0.008996740031569195	2094.874	0.0	2094.874	0.0
2136.24674	0.00474486677424793	2136.24674	0.009225875424219807	2094.922	0.0	2094.922	0.0
2136.27687	0.0048695854858716026	2136.27687	0.00947501110373418	2094.97	0.0	2094.97	0.0
2136.30701	0.0050093041041370315	2136.30701	0.009744146496384817	2095.018	0.0	2095.018	0.0
2136.33714	0.005164022815760692	2136.33714	0.010018282175899174	2095.066	0.0	2095.066	0.0
2136.36727	0.005313741527384369	2136.36727	0.010297417855413549	2095.114	0.0	2095.114	0.0
2136.39741	0.005458460145649796	2136.39741	0.010561553248064154	2095.162	0.0	2095.162	0.0
2136.42754	0.005593178857273458	2136.42754	0.010820688927578537	2095.21	0.0	2095.21	0.0
2136.45767	0.00571789756889713	2136.45767	0.01107982460709292	2095.258	0.0	2095.258	0.0
2136.48781	0.005842616187162565	2136.48781	0.011343959999743525	2095.306	0.0	2095.306	0.0
2136.51794	0.005977334898786227	2136.51794	0.011638095679257901	2095.354	0.0	2095.354	0.0
2136.54808	0.006127053517051659	2136.54808	0.01195723107190852	2095.402	0.0	2095.402	0.0
2136.57821	0.006296772228675335	2136.57821	0.012311366751422886	2095.45	0.0	2095.45	0.0
2136.60834	0.006481490940298991	2136.60834	0.01268550243093726	2095.498	0.0	2095.498	0.0
2136.63848	0.006681209558564424	2136.63848	0.013074637823587879	2095.546	0.0	2095.546	0.0
2136.66861	0.0068859282701881006	2136.66861	0.013473773503102249	2095.594	0.0	2095.594	0.0
2136.69874	0.007100646981811773	2136.69874	0.013892909182616625	2095.642	0.0	2095.642	0.0
2136.72888	0.007320365600077192	2136.72888	0.014337044575267244	2095.69	0.0	2095.69	0.0
2136.75901	0.007560084311700868	2136.75901	0.01481618025478161	2095.738	0.0	2095.738	0.0
2136.78915	0.007819802929966292	2136.78915	0.015350315647432236	2095.786	0.0	2095.786	0.0
2136.81928	0.00809952164158996	2136.81928	0.015934451326946597	2095.834	0.0	2095.834	0.0
2136.84941	0.008404240353213632	2136.84941	0.01655858700646097	2095.882	0.0	2095.882	0.0
2136.87955	0.008728958971479059	2136.87955	0.017222722399111587	2095.93	0.0	2095.93	0.0
2136.90968	0.009063677683102726	2136.90968	0.01790185807862596	2095.978	0.0	2095.978	0.0
2136.93982	0.009418396301368155	2136.93982	0.018600993471276583	2096.026	0.0	2096.026	0.0
2136.96995	0.009788115012991823	2136.96995	0.01931512915079095	2096.074	0.0	2096.074	0.0
2137.00008	0.010177833724615497	2137.00008	0.020064264830305323	2096.122	0.0	2096.122	0.0
2137.03022	0.010592552342880923	2137.03022	0.020858400222955945	2096.17	0.0	2096.17	0.0
2137.06035	0.011032271054504598	2137.06035	0.021707535902470307	2096.218	0.0	2096.218	0.0
2137.09048	0.011501989766128269	2137.09048	0.022626671581984698	2096.266	0.0	2096.266	0.0
