v_p	A_p	v_s	A_s	νk	ipda	νk	isda
2136.63848	0.006681209558564424	2136.63848	0.013074637823587879	2129.71	0.0693527973682519	2129.71	0.08040488373665801
2136.66861	0.0068859282701881006	2136.66861	0.013473773503102249	2129.73	0.07033205523882774	2129.73	0.08144961263748235
2136.69874	0.007100646981811773	2136.69874	0.013892909182616625	2129.75	0.07101400221314827	2129.75	0.0820193545825565
2136.72888	0.007320365600077192	2136.72888	0.014337044575267244	2129.77	0.07140455071079009	2129.77	0.0821351947918445
2136.75901	0.007560084311700868	2136.75901	0.01481618025478161	2129.79	0.07154359274609032	2129.79	0.08186933310303178
2136.78915	0.007819802929966292	2136.78915	0.015350315647432236	2129.81	0.07150027096879243	2129.81	0.08133573609546217
2136.81928	0.00809952164158996	2136.81928	0.015934451326946597	2129.83	0.0713609745538321	2129.83	0.08067294500264174
2136.84941	0.008404240353213632	2136.84941	0.01655858700646097	2129.85	0.0712139422365862	2129.85	0.0800235420205817
2136.87955	0.008728958971479059	2136.87955	0.017222722399111587	2129.87	0.0711352126185982	2129.87	0.07951489433947803
2136.90968	0.009063677683102726	2136.90968	0.01790185807862596	2129.89	0.07117944060528548	2129.89	0.07924453391333014
2136.93982	0.009418396301368155	2136.93982	0.018600993471276583	2129.91	0.0713766309778421	2129.91	0.07927171149068196
2136.96995	0.009788115012991823	2136.96995	0.01931512915079095	2129.93	0.07173351499954377	2129.93	0.07961506921627648
2137.00008	0.010177833724615497	2137.00008	0.020064264830305323	2129.95	0.0722372543979194	2129.95	0.08025543897451529
2137.03022	0.010592552342880923	2137.03022	0.020858400222955945	2129.97	0.0728596890515736	2129.97	0.08114252419565533
2137.06035	0.011032271054504598	2137.06035	0.021707535902470307	2129.99	0.07356180974900785	2129.99	0.08220441372086966
2137.09048	0.011501989766128269	2137.09048	0.022626671581984698	2130.01	0.07429940322584336	2130.01	0.08335914550697417
2137.12062	0.01200170838439369	2137.12062	0.023615806974635306	2130.03	0.07503093470528253	2130.03	0.0845275509790559
2137.15075	0.012541427096017362	2137.15075	0.024704942654149686	2130.05	0.07572748071284956	2130.05	0.08564619374502998
2137.18089	0.01314614571428279	2137.18089	0.025919078046800298	2130.07	0.07638254967145289	2130.07	0.08667848264129693
2137.21102	0.013850864425906453	2137.21102	0.02732321372631466	2130.09	0.07701813116829423	2130.09	0.08762143506302691
2137.24115	0.014705583137530127	2137.24115	0.02896734940582904	2130.11	0.07768341583254597	2130.11	0.08850571583131024
