Wavenumber	Absorbance
2134.61951	0.0015050583070928478
2134.64965	0.001574776925358283
2134.67978	0.0016494956369819472
2134.70991	0.0017192143486056133
2134.74005	0.0017889329668710485
2134.77018	0.0018586516784947146
2134.80031	0.0019233703901183827
2134.83045	0.001993089008383818
2134.86058	0.002067807720007482
2134.89072	0.0021575263382729096
2134.92085	0.00225224504989658
2134.95098	0.0023519637615202482
2134.98112	0.002451682379785672
2135.01125	0.002536401091409346
2135.04138	0.002611119803033017
2135.07152	0.0026708384212984423
2135.10165	0.0027205571329221093
2135.13179	0.002760275751187549
2135.16192	0.002804994462811211
2135.19205	0.002844713174434875
2135.22219	0.002884431792700315
2135.25232	0.0029141505043239757
2135.28246	0.0029288691225894045
2135.31259	0.002928587834213077
2135.34272	0.0029133065458367413
2135.37286	0.002898025164102168
2135.40299	0.002887743875725844
2135.43312	0.0028874625873495097
2135.46326	0.0029071812056149365
2135.49339	0.002931899917238606
2135.52353	0.002961618535504043
2135.55366	0.002986337247127699
2135.58379	0.0030110559587513755
2135.61393	0.0030307745770168093
2135.64406	0.003060493288640477
2135.6742	0.003105211906905901
2135.70433	0.003169930618529576
2135.73446	0.0032546493301532364
2135.7646	0.003349367948418669
2135.79473	0.003444086660042339
2135.82486	0.0035288053716660064
2135.855	0.0035985239899314347
2135.88513	0.0036532427015551067
2135.91527	0.003707961319820534
2135.9454	0.003762680031444199
2135.97553	0.003842398743067868
2136.00567	0.003937117361333307
2136.0358	0.004046836072956965
2136.06593	0.0041615547845806344
2136.09607	0.00426627340284607
2136.1262	0.004365992114469738
2136.15634	0.004455710732735166
2136.18647	0.004545429444358838
2136.2166	0.004635148155982503
2136.24674	0.00474486677424793
2136.27687	0.0048695854858716026
2136.30701	0.0050093041041370315
2136.33714	0.005164022815760692
2136.36727	0.005313741527384369
2136.39741	0.005458460145649796
2136.42754	0.005593178857273458
2136.45767	0.00571789756889713
2136.48781	0.005842616187162565
2136.51794	0.005977334898786227
2136.54808	0.006127053517051659
2136.57821	0.006296772228675335
