# Wavenumber / cm-1 	 Absorbance / OD
1.939138260000000400e+03	8.946404994021259216e-04
1.939168390000000272e+03	8.887651390446019151e-04
1.939198530000000346e+03	8.578894881592427635e-04
1.939228660000000446e+03	8.220141278017095710e-04
1.939258790000000317e+03	7.961387674441933182e-04
1.939288930000000391e+03	7.852631165588402906e-04
1.939319060000000263e+03	7.943877562013104687e-04
1.939349200000000337e+03	8.135121053159527493e-04
1.939379330000000436e+03	8.426367449584221125e-04
1.939409460000000308e+03	8.617613846009022915e-04
1.939439600000000382e+03	8.658857337155434486e-04
1.939469730000000254e+03	8.600103733580194421e-04
1.939499860000000353e+03	8.441350130004923735e-04
1.939530000000000427e+03	8.332593621151324070e-04
1.939560130000000299e+03	8.273840017576084005e-04
1.939590270000000373e+03	8.365083508722476191e-04
1.939620400000000245e+03	8.506329905147297366e-04
1.939650530000000344e+03	8.647576301572049151e-04
1.939680670000000418e+03	8.788819792718352564e-04
1.939710800000000290e+03	8.880066189143193123e-04
1.939740940000000364e+03	8.921309680289535304e-04
1.939771070000000464e+03	8.912556076714275854e-04
1.939801200000000335e+03	9.003802473139047025e-04
1.939831340000000409e+03	9.045045964285458595e-04
1.939861470000000281e+03	9.136292360710299154e-04
1.939891600000000381e+03	9.127538757134970315e-04
1.939921740000000455e+03	9.068782248281351266e-04
1.939951870000000326e+03	8.860028644706099965e-04
1.939982010000000400e+03	8.651272135852539069e-04
1.940012140000000272e+03	8.442518532277357157e-04
1.940042270000000372e+03	8.333764928701997698e-04
1.940072410000000446e+03	8.375008419848478658e-04
1.940102540000000317e+03	8.566254816273211059e-04
1.940132680000000391e+03	8.807498307419614481e-04
1.940162810000000263e+03	8.998744703844346882e-04
1.940192940000000362e+03	9.039991100269137436e-04
1.940223080000000436e+03	8.931234591415537771e-04
1.940253210000000308e+03	8.722480987840286470e-04
1.940283340000000408e+03	8.513727384265035170e-04
1.940313480000000254e+03	8.304970875411474274e-04
1.940343610000000353e+03	8.246217271836164819e-04
1.940373750000000427e+03	8.287460762982645779e-04
1.940403880000000299e+03	8.428707159407397564e-04
1.940434010000000399e+03	8.569953555832079961e-04
1.940464150000000245e+03	8.661197046978541536e-04
1.940494280000000344e+03	8.702443443403262702e-04
1.940524410000000444e+03	8.743689839827914478e-04
1.940554550000000290e+03	8.784933330974464827e-04
1.940584680000000390e+03	8.926179727399216612e-04
1.940614820000000464e+03	9.067423218545520025e-04
1.940644950000000335e+03	9.208669614970341200e-04
1.940675080000000435e+03	9.149916011395031745e-04
1.940705220000000281e+03	8.991159502541520854e-04
1.940735350000000381e+03	8.732405898966219548e-04
1.940765490000000455e+03	8.473649390112608648e-04
1.940795620000000326e+03	8.264895786537426736e-04
1.940825750000000426e+03	8.206142182962117282e-04
1.940855890000000272e+03	8.247385674108598241e-04
1.940886020000000372e+03	8.338632070533300022e-04
1.940916150000000243e+03	8.429878466958071193e-04
1.940946290000000317e+03	8.421121958104502148e-04
1.940976420000000417e+03	8.362368354529192693e-04
1.941006560000000263e+03	8.303611845675712422e-04
1.941036690000000362e+03	8.294858242100383583e-04
1.941066820000000462e+03	8.436104638525135369e-04
1.941096960000000308e+03	8.727348129671519406e-04
1.941127090000000408e+03	8.968594526096301811e-04
1.941157220000000279e+03	9.109840922521122986e-04
1.941187360000000353e+03	9.001084413667453932e-04
1.941217490000000453e+03	8.692330810092172011e-04
1.941247630000000299e+03	8.283574301238619264e-04
1.941277760000000399e+03	7.924820697663356728e-04
1.941307890000000270e+03	7.716067094088105427e-04
1.941338030000000344e+03	7.807310585234567002e-04
1.941368160000000444e+03	8.098556981659260634e-04
1.941398300000000290e+03	8.489800472805675291e-04
1.941428430000000390e+03	8.881046869230468932e-04
1.941458560000000261e+03	9.172293265655162564e-04
1.941488700000000335e+03	9.263536756801624139e-04
1.941518830000000435e+03	9.154783153226334069e-04
1.941548960000000307e+03	9.046029549651113388e-04
1.941579100000000381e+03	8.887273040797533108e-04
1.941609230000000252e+03	8.828519437222293043e-04
1.941639370000000326e+03	8.769762928368673993e-04
1.941669500000000426e+03	8.811009324793395159e-04
1.941699630000000298e+03	8.852255721218185713e-04
1.941729770000000372e+03	8.843499212364616668e-04
1.941759900000000243e+03	8.784745608789376603e-04
1.941790040000000317e+03	8.775989099935807558e-04
1.941820170000000417e+03	8.717235496360428715e-04
1.941850300000000288e+03	8.658481892785258038e-04
1.941880440000000362e+03	8.599725383931708378e-04
1.941910570000000462e+03	8.590971780356379539e-04
1.941940700000000334e+03	8.582218176781189478e-04
1.941970840000000408e+03	8.623461667927531660e-04
1.942000970000000279e+03	8.714708064352372219e-04
1.942031110000000353e+03	8.805951555498695016e-04
1.942061240000000453e+03	8.897197951923466186e-04
1.942091370000000325e+03	8.888444348348276125e-04
1.942121510000000399e+03	8.829687839494657076e-04
1.942151640000000270e+03	8.670934235919455779e-04
1.942181770000000370e+03	8.512180632344115705e-04
1.942211910000000444e+03	8.403424123490516040e-04
1.942242040000000316e+03	8.344670519915275975e-04
1.942272180000000390e+03	8.485914011061718165e-04
1.942302310000000261e+03	8.627160407486539340e-04
1.942332440000000361e+03	8.868406803911182967e-04
1.942362580000000435e+03	8.959650295057644542e-04
1.942392710000000307e+03	8.950896691482385092e-04
1.942422850000000381e+03	8.792140182628804812e-04
1.942452980000000252e+03	8.533386579053572896e-04
1.942483110000000352e+03	8.224632975478290975e-04
1.942513250000000426e+03	7.965876466624680075e-04
1.942543380000000298e+03	7.807122863049478778e-04
1.942573510000000397e+03	7.798369259474219328e-04
1.942603650000000243e+03	7.839612750620630899e-04
1.942633780000000343e+03	7.880859147045352064e-04
1.942663920000000417e+03	7.972102638191813639e-04
1.942694050000000288e+03	8.113349034616496036e-04
1.942724180000000388e+03	8.254595431041247822e-04
1.942754320000000462e+03	8.445838922187601239e-04
1.942784450000000334e+03	8.637085318612472418e-04
1.942814590000000408e+03	8.878328809758875839e-04
1.942844720000000279e+03	9.069575206183608240e-04
1.942874850000000379e+03	9.110821602608329406e-04
1.942904990000000453e+03	8.952065093754749125e-04
1.942935120000000325e+03	8.643311490179536594e-04
1.942965250000000424e+03	8.184557886604174048e-04
1.942995390000000270e+03	7.775801377750690691e-04
1.943025520000000370e+03	7.517047774175458774e-04
1.943055660000000444e+03	7.408291265321789720e-04
1.943085790000000316e+03	7.449537661746580275e-04
1.943115920000000415e+03	7.640784058171312676e-04
1.943146060000000261e+03	7.832027549317804871e-04
1.943176190000000361e+03	7.973273945742417879e-04
1.943206320000000460e+03	8.014520342167208433e-04
1.943236460000000307e+03	8.005763833313708777e-04
1.943266590000000406e+03	8.047010229738360554e-04
1.943296730000000252e+03	8.138253720884891518e-04
