Wavenumber	Absorbance
2134.98112	0.004467181474436269
2135.01125	0.004616317153950625
2135.04138	0.004750452833464994
2135.07152	0.004854588226115605
2135.10165	0.004943723905629985
2135.13179	0.005017859298280622
2135.16192	0.005086994977794981
2135.19205	0.005156130657309355
2135.22219	0.005220266049959968
2135.25232	0.005279401729474331
2135.28246	0.005318537122124975
2135.31259	0.005342672801639331
2135.34272	0.0053518084811537
2135.37286	0.005365943873804319
2135.40299	0.005385079553318697
2135.43312	0.005424215232833068
2135.46326	0.005483350625483677
2135.49339	0.005557486304998055
2135.52353	0.005631621697648678
2135.55366	0.005705757377163043
2135.58379	0.005769893056677411
2135.61393	0.005829028449328033
2135.64406	0.005903164128842411
2135.6742	0.006002299521493032
2135.70433	0.006126435201007405
2135.73446	0.006275570880521775
2135.7646	0.006439706273172391
2135.79473	0.006598841952686757
2135.82486	0.006747977632201113
2135.855	0.00687711302485175
2135.88513	0.0069912487043661126
2135.91527	0.007105384097016748
2135.9454	0.007239519776531117
2135.97553	0.007393655456045478
2136.00567	0.0075777908486961
2136.0358	0.00778192652821047
2136.06593	0.00799106220772483
2136.09607	0.008200197600375464
2136.1262	0.008399333279889828
2136.15634	0.00859346867254046
2136.18647	0.008792604352054811
2136.2166	0.008996740031569195
2136.24674	0.009225875424219807
2136.27687	0.00947501110373418
2136.30701	0.009744146496384817
2136.33714	0.010018282175899174
2136.36727	0.010297417855413549
2136.39741	0.010561553248064154
2136.42754	0.010820688927578537
2136.45767	0.01107982460709292
2136.48781	0.011343959999743525
2136.51794	0.011638095679257901
2136.54808	0.01195723107190852
2136.57821	0.012311366751422886
2136.60834	0.01268550243093726
2136.63848	0.013074637823587879
2136.66861	0.013473773503102249
2136.69874	0.013892909182616625
2136.72888	0.014337044575267244
2136.75901	0.01481618025478161
2136.78915	0.015350315647432236
2136.81928	0.015934451326946597
2136.84941	0.01655858700646097
2136.87955	0.017222722399111587
2136.90968	0.01790185807862596
2136.93982	0.018600993471276583
2136.96995	0.01931512915079095
2137.00008	0.020064264830305323
2137.03022	0.020858400222955945
2137.06035	0.021707535902470307
2137.09048	0.022626671581984698
2137.12062	0.023615806974635306
2137.15075	0.024704942654149686
2137.18089	0.025919078046800298
2137.21102	0.02732321372631466
2137.24115	0.02896734940582904
2137.27129	0.030931484798479653
2137.30142	0.03326562047799403
2137.33156	0.03599975587064465
2137.36169	0.03915389155015901
2137.39182	0.0427330272296734
2137.42196	0.046732162622324006
2137.45209	0.051181298301838374
2137.48222	0.056130433981352756
2137.51236	0.06165456937400336
2137.54249	0.06785370505351776
2137.57263	0.07482784044616834
2137.60276	0.08269697612568273
2137.63289	0.09155611180519713
2137.66303	0.10151524719784773
2137.69316	0.11266938287736211
2137.72329	0.12512351855687648
2137.75343	0.1389776539495271
2137.78356	0.15432178962904147
2137.8137	0.17123092502169207
2137.84383	0.18973006070120646
2137.87396	0.20978919638072085
2137.9041	0.23129333177337147
2137.93423	0.2540324674528858
2137.96437	0.2776866028455364
2137.9945	0.3018357385250508
2138.02463	0.3259598742045652
2138.05477	0.3494890095972158
2138.0849	0.37183314527673017
2138.11503	0.39244228095624456
2138.14517	0.41085141634889516
2138.1753	0.42671555202840955
2138.20544	0.43980468742106016
2138.23557	0.45000882310057455
2138.2657	0.45731295878008893
2138.29584	0.4617820941727395
2138.32597	0.46355122985225394
2138.35611	0.46282036524490455
2138.38624	0.4598345009244189
2138.41637	0.45484863660393327
2138.44651	0.4480927719965838
2138.47664	0.4397669076760983
2138.50677	0.4300260433556126
2138.53691	0.41899517874826325
2138.56704	0.4067943144277776
2138.59718	0.3935584498204282
2138.62731	0.3794675854999426
2138.65744	0.364701721179457
2138.68758	0.3494658565721076
2138.71771	0.33393999225162196
2138.74784	0.3182941279311363
2138.77798	0.30267826332378694
2138.80811	0.2872223990033013
2138.83825	0.27204153439595197
2138.86838	0.2572406700754663
2138.89851	0.24290480575498066
2138.92865	0.2291089411476313
2138.95878	0.21589807682714568
2138.98892	0.20331721221979632
2139.01905	0.19138134789931066
2139.04918	0.180115483578825
2139.07932	0.16952461897147564
2139.10945	0.15960375465099
2139.13958	0.15033289033050437
2139.16972	0.14168202572315503
2139.19985	0.13360116140266937
2139.22999	0.12605029679531998
2139.26012	0.11897443247483436
2139.29025	0.11234356815434873
2139.32039	0.10613270354699937
2139.35052	0.10032183922651372
2139.38065	0.09490097490602808
2139.41079	0.0898501102986787
2139.44092	0.08514424597819309
2139.47106	0.0807483813708437
2139.50119	0.07663251705035806
2139.53132	0.07276165272987245
2139.56146	0.06911078812252305
2139.59159	0.06567492380203743
2139.62173	0.06243405919468806
2139.65186	0.05938319487420242
2139.68199	0.0565073305537168
2139.71213	0.05380146594636742
2139.74226	0.051250601625881784
2139.77239	0.048844737305396166
2139.80253	0.04657887269804678
2139.83266	0.04443800837756115
2139.8628	0.042422143770211765
2139.89293	0.04051627944972615
2139.92306	0.03871041512924052
2139.9532	0.036999550521891134
2139.98333	0.035373686201405505
2140.01347	0.03383282159405612
2140.0436	0.0323769572735705
2140.07373	0.03101109295308485
2140.10387	0.02973022834573548
2140.134	0.02852936402524986
2140.16413	0.027398499704764212
2140.19427	0.026327635097414842
2140.2244	0.025311770776929213
2140.25454	0.024345906169579837
2140.28467	0.02342504184909419
2140.3148	0.022559177528608573
2140.34494	0.0217483129212592
2140.37507	0.020992448600773567
2140.4052	0.020286584280287928
2140.43534	0.019620719672938547
2140.46547	0.01899485535245292
2140.49561	0.018388990745103542
2140.52574	0.017808126424617918
2140.55587	0.01724226210413228
2140.58601	0.016696397496782908
2140.61614	0.016165533176297278
2140.64628	0.015649668568947894
2140.67641	0.015163804248462268
2140.70654	0.014697939927976633
2140.73668	0.01426207532062726
2140.76681	0.01385621100014163
2140.79694	0.013475346679655997
2140.82708	0.013114482072306616
2140.85721	0.012773617751820995
2140.88735	0.012442753144471616
2140.91748	0.012121888823985988
2140.94761	0.011811024503500356
2140.97775	0.011510159896150979
2141.00788	0.011219295575665353
2141.03801	0.01093843125517971
2141.06815	0.010667566647830334
2141.09828	0.010401702327344692
2141.12842	0.010140837719995327
2141.15855	0.009884973399509694
2141.18868	0.009639109079024058
2141.21882	0.009398244471674685
2141.24895	0.00916738015118905
2141.27909	0.008946515543839684
2141.30922	0.008725651223354058
2141.33935	0.00850978690286841
2141.36949	0.008293922295519049
2141.39962	0.008083057975033406
2141.42975	0.007877193654547796
2141.45989	0.007681329047198399
2141.49002	0.007495464726712767
2141.52016	0.007324600119363395
2141.55029	0.007148735798877759
2141.58042	0.006967871478392146
2141.61056	0.006772006871042749
2141.64069	0.00656114255055712
2141.67083	0.006340277943207739
2141.70096	0.006119413622722114
2141.73109	0.005908549302236485
2141.76123	0.005722684694887098
2141.79136	0.005566820374401468
2141.82149	0.0054359560539158636
2141.85163	0.005325091446566468
2141.88176	0.005219227126080833
2141.9119	0.005108362518731452
2141.94203	0.004982498198245824
2141.97216	0.00484163387776021
2142.0023	0.004690769270410816
2142.03243	0.0045349049499251864
2142.06256	0.004384040629439562
2142.0927	0.004243176022090178
2142.12283	0.004122311701604556
2142.15297	0.004011447094255174
2142.1831	0.0039055827737695392
2142.21323	0.003799718453283918
2142.24337	0.0036988538459345327
2142.2735	0.0035979895254489025
