# Wavenumber / cm-1 	 Absorbance / OD
1.938083580000000438e+03	3.682592170480558647e-04
1.938113710000000310e+03	3.629744863721112713e-04
1.938143840000000409e+03	3.476897556961705549e-04
1.938173980000000256e+03	3.124049305195247817e-04
1.938204110000000355e+03	2.771201998435779412e-04
1.938234240000000455e+03	2.418354691676311008e-04
1.938264380000000301e+03	2.215506439909725733e-04
1.938294510000000400e+03	2.112659133150229795e-04
1.938324650000000247e+03	2.159810881383755765e-04
1.938354780000000346e+03	2.256963574624321067e-04
1.938384910000000446e+03	2.354116267864747591e-04
1.938415050000000292e+03	2.351268016098223557e-04
1.938445180000000391e+03	2.298420709338916401e-04
1.938475320000000465e+03	2.245572457572203584e-04
1.938505450000000337e+03	2.192725150812757651e-04
1.938535580000000436e+03	2.189877844053361722e-04
1.938565720000000283e+03	2.287029592286798918e-04
1.938595850000000382e+03	2.434182285527414225e-04
1.938625980000000254e+03	2.581334978768029531e-04
1.938656120000000328e+03	2.728486727001377954e-04
1.938686250000000427e+03	2.775639420241893252e-04
1.938716390000000274e+03	2.772791168475230439e-04
1.938746520000000373e+03	2.719943861715923283e-04
1.938776650000000245e+03	2.717096554956527354e-04
1.938806790000000319e+03	2.664248303189814537e-04
1.938836920000000418e+03	2.611400996430368604e-04
1.938867050000000290e+03	2.558553689671061449e-04
1.938897190000000364e+03	2.405705437904387400e-04
1.938927320000000464e+03	2.302858131144891463e-04
1.938957460000000310e+03	2.150009879378217414e-04
1.938987590000000409e+03	2.097162572619049037e-04
1.939017720000000281e+03	2.194315265859475561e-04
1.939047860000000355e+03	2.391467014092873988e-04
1.939077990000000455e+03	2.638619707333589304e-04
1.939108130000000301e+03	2.885771455566898958e-04
1.939138260000000400e+03	2.932924148807553033e-04
1.939168390000000272e+03	2.830076842048057095e-04
1.939198530000000346e+03	2.577228590281421816e-04
1.939228660000000446e+03	2.224381283522092190e-04
1.939258790000000317e+03	1.971533976762723794e-04
1.939288930000000391e+03	1.818685724996049746e-04
1.939319060000000263e+03	1.815838418236653817e-04
1.939349200000000337e+03	2.012990166469913467e-04
1.939379330000000436e+03	2.210142859710578778e-04
1.939409460000000308e+03	2.407295552951105311e-04
1.939439600000000382e+03	2.504447301184542507e-04
1.939469730000000254e+03	2.601599994425107809e-04
1.939499860000000353e+03	2.648752687665761885e-04
1.939530000000000427e+03	2.695904435899010299e-04
1.939560130000000299e+03	2.793057129139575601e-04
1.939590270000000373e+03	2.840208877372962792e-04
1.939620400000000245e+03	2.887361570613755646e-04
1.939650530000000344e+03	2.884514263854220939e-04
1.939680670000000418e+03	2.781666012087458117e-04
1.939710800000000290e+03	2.728818705328289740e-04
1.939740940000000364e+03	2.675970453561576923e-04
1.939771070000000464e+03	2.723123146802092220e-04
1.939801200000000335e+03	2.920275840042757531e-04
1.939831340000000409e+03	3.217427588276117190e-04
1.939861470000000281e+03	3.514580281516743732e-04
1.939891600000000381e+03	3.661732974757359038e-04
1.939921740000000455e+03	3.708884722990746230e-04
1.939951870000000326e+03	3.556037416231339066e-04
1.939982010000000400e+03	3.253189164464653782e-04
1.940012140000000272e+03	2.950341857705235382e-04
1.940042270000000372e+03	2.697494550945866987e-04
1.940072410000000446e+03	2.544646299179192939e-04
1.940102540000000317e+03	2.541798992419797010e-04
1.940132680000000391e+03	2.588950740653184202e-04
1.940162810000000263e+03	2.686103433893749504e-04
1.940192940000000362e+03	2.733256127134264801e-04
1.940223080000000436e+03	2.730407875367601989e-04
1.940253210000000308e+03	2.627560568608244829e-04
1.940283340000000408e+03	2.524713261848887669e-04
1.940313480000000254e+03	2.421865010082263625e-04
1.940343610000000353e+03	2.419017703322867696e-04
1.940373750000000427e+03	2.466169451556254888e-04
1.940403880000000299e+03	2.563322144796820190e-04
1.940434010000000399e+03	2.660474838037524270e-04
1.940464150000000245e+03	2.757626586270822688e-04
1.940494280000000344e+03	2.854779279511387990e-04
1.940524410000000444e+03	2.951931972752092070e-04
1.940554550000000290e+03	3.099083720985440493e-04
1.940584680000000390e+03	3.246236414225917022e-04
1.940614820000000464e+03	3.393388162459265445e-04
1.940644950000000335e+03	3.390540855699869516e-04
1.940675080000000435e+03	3.287693548940512356e-04
1.940705220000000281e+03	3.034845297173877077e-04
1.940735350000000381e+03	2.731997990414458677e-04
1.940765490000000455e+03	2.479149738647823398e-04
1.940795620000000326e+03	2.376302431888466238e-04
1.940825750000000426e+03	2.423455125128981535e-04
1.940855890000000272e+03	2.620606873362379963e-04
1.940886020000000372e+03	2.767759566602995269e-04
1.940916150000000243e+03	2.814912259843510567e-04
1.940946290000000317e+03	2.662064008076836519e-04
1.940976420000000417e+03	2.409216701317468123e-04
1.941006560000000263e+03	2.156368449550971622e-04
1.941036690000000362e+03	2.053521142791475684e-04
1.941066820000000462e+03	2.150673836032040986e-04
1.941096960000000308e+03	2.447825584265539423e-04
1.941127090000000408e+03	2.844978277505988418e-04
1.941157220000000279e+03	3.192130970746664964e-04
1.941187360000000353e+03	3.339282718980013387e-04
